title,brand,category,actual_price,discount_price,rating,rating_count,discount_percent,price_category,popularity_score,revenue_potential
4K Action Camera,JBL,Smartwatch,173.93,31249.0,1.3,4634,-17866.423273730812,Budget,10.973808921399943,805991.62
Noise Cancelling Earbuds,Samsung,Speaker,868.01,63869.0,3.9,1969,-7258.094952823124,Midrange,29.584576404754934,1709111.69
High Resolution Monitor,Boat,Tablet,488.56,62126.0,1.8,134,-12616.145406910104,Budget,8.829494601189174,65467.04
Portable Bluetooth Speaker,Sony,Monitor,115.39,69414.0,3.8,2145,-60055.99272033972,Budget,29.151171508124445,247511.55
Noise Cancelling Earbuds,HP,Camera,250.55,43122.0,2.6,1896,-17110.93594092995,Budget,19.624875321831038,475042.80000000005
4K Action Camera,OnePlus,Headphones,515.55,103.0,2.7,4360,80.02133643681505,Midrange,22.627233003175473,2247798.0
Wireless Bluetooth Headphones,Samsung,Speaker,90.84,76240.0,2.9,249,-83827.78511668868,Budget,16.012236661800515,22619.16
Gaming Laptop,LG,Tablet,923.94,49124.0,2.5,3566,-5216.795462908846,Midrange,20.448700463397227,3294770.04
Portable Bluetooth Speaker,HP,Smartwatch,83.75,4235.0,1.4,1929,-4956.716417910448,Budget,10.591385394658504,161553.75
Android Tablet,Mi,Smartwatch,931.37,48173.0,2.2,1694,-5072.2731030632285,Midrange,16.35796364359201,1577740.78
Wireless Bluetooth Headphones,Boat,Monitor,315.55,13286.0,3.7,1760,-4110.426239898589,Budget,27.652457301435962,555368.0
Gaming Laptop,Samsung,Smartphone,622.49,67594.0,3.7,3049,-10758.648331700108,Midrange,29.684718417525392,1897972.01
Smartphone with AMOLED Display,Apple,Monitor,271.25,47088.0,2.1,4278,-17259.63133640553,Budget,17.55909669447532,1160407.5
Smart Fitness Watch,JBL,Headphones,166.5,34322.0,2.8,625,-20513.813813813813,Budget,18.030181039080276,104062.5
Laptop with SSD Storage,JBL,Speaker,502.11,15420.0,1.8,3722,-2971.040210312481,Midrange,14.80011313297089,1868853.4200000002
Android Tablet,OnePlus,Speaker,137.16,24923.0,1.8,3557,-18070.74948964713,Budget,14.718516962806405,487878.12
Smartphone with AMOLED Display,LG,Laptop,648.11,21812.0,1.1,3811,-3265.47808242428,Midrange,9.070500191251504,2469947.21
4K Action Camera,OnePlus,Smartphone,348.44,5953.0,4.6,3571,-1608.4720468373323,Budget,37.632052333183395,1244279.24
Smartphone with AMOLED Display,Apple,Smartphone,190.56,68412.0,1.8,659,-35800.50377833753,Budget,11.686031703036848,125579.04000000001
Smart Fitness Watch,Sony,Speaker,571.11,53748.0,1.9,365,-9311.146714293218,Midrange,11.215003333462594,208455.15
4K Action Camera,LG,Speaker,994.26,2305.8,2.1,1168,-131.91117011646855,Midrange,14.834198319091344,1161295.68
Android Tablet,Dell,Camera,633.56,65038.0,1.5,4210,-10165.48393206642,Midrange,12.518183142242894,2667287.5999999996
Smart Fitness Watch,Sony,Tablet,337.34,45946.0,3.6,455,-13520.086559554162,Budget,22.040974114251792,153489.69999999998
Noise Cancelling Earbuds,LG,Camera,464.48,45468.0,1.3,3244,-9689.01136755081,Budget,10.51033181787965,1506773.12
Laptop with SSD Storage,LG,Camera,853.78,5532.0,1.5,4916,-547.9420928107944,Midrange,12.750680801117909,4197182.4799999995
Android Tablet,Apple,Smartphone,654.42,6811.0,3.6,2903,-940.7689251550993,Midrange,28.705839753400873,1899781.2599999998
Noise Cancelling Earbuds,Mi,Laptop,200.33,45330.0,2.4,2441,-22527.6643538162,Budget,18.72137437120956,489005.53
Gaming Laptop,Apple,Smartwatch,189.04,76919.0,3.8,4729,-40589.27211172239,Budget,32.15438582964672,893970.1599999999
Android Tablet,LG,Camera,931.94,14113.0,3.2,4984,-1414.3678777603707,Midrange,27.245403783667,4644788.96
Gaming Laptop,Samsung,Laptop,831.83,5348.0,2.0,2255,-542.9198273685729,Midrange,15.442697225235898,1875776.6500000001
4K Action Camera,Sony,Monitor,730.33,5571.0,3.6,3015,-662.8058548875166,Midrange,28.84207222486025,2201944.95
Noise Cancelling Earbuds,Apple,Headphones,366.84,53219.0,1.5,1269,-14407.414676698289,Budget,10.720158269178956,465519.95999999996
Laptop with SSD Storage,Mi,Camera,10.61,50344.0,3.1,528,-474395.7587181904,Budget,19.44006413876073,5602.08
Smart Fitness Watch,Boat,Monitor,522.66,16239.0,2.7,1633,-3006.9911606015385,Midrange,19.976722943633863,853503.7799999999
High Resolution Monitor,OnePlus,Smartwatch,335.93,40604.0,2.1,3535,-11987.04194326199,Budget,17.158577989890823,1187512.55
Smartphone with AMOLED Display,LG,Headphones,775.67,42586.0,3.4,4792,-5390.221357020383,Midrange,28.814700117142745,3717010.6399999997
Wireless Bluetooth Headphones,Dell,Headphones,562.21,59372.0,4.5,4770,-10460.466729513882,Midrange,38.11640042482249,2681741.7
Laptop with SSD Storage,Boat,Smartwatch,797.76,75621.0,5.0,553,-9379.166666666668,Midrange,31.58582343373642,441161.27999999997
Noise Cancelling Earbuds,JBL,Camera,686.73,1338.0,3.4,3092,-94.83639858459657,Midrange,27.32544902712924,2123369.16
High Resolution Monitor,HP,Smartphone,405.84,36344.0,2.6,3998,-8855.253301793811,Budget,21.56387898300173,1622548.3199999998
Laptop with SSD Storage,Mi,Smartwatch,312.81,13118.0,1.9,3655,-4093.59994885074,Budget,15.587837371890677,1143320.55
Noise Cancelling Earbuds,Dell,Smartwatch,665.38,49461.0,2.0,3675,-7333.496648531667,Midrange,16.419160966951154,2445271.5
Portable Bluetooth Speaker,HP,Smartwatch,156.73,21391.0,2.9,890,-13548.312384355262,Budget,19.697798839665346,139489.69999999998
Portable Bluetooth Speaker,Mi,Headphones,284.88,22178.0,2.5,4782,-7685.032294299354,Budget,21.182058109200742,1362296.16
Gaming Laptop,Samsung,Tablet,181.6,44710.0,4.7,4453,-24520.04405286344,Budget,39.48732188474138,808664.7999999999
Laptop with SSD Storage,OnePlus,Laptop,411.81,52296.0,2.5,4402,-12599.06024623006,Budget,20.975103514389385,1812787.62
Portable Bluetooth Speaker,Boat,Monitor,117.9,11153.0,2.5,3898,-9359.711620016964,Budget,20.671188472456492,459574.2
Noise Cancelling Earbuds,Sony,Smartphone,991.94,63636.0,2.5,1775,-6315.307377462345,Midrange,18.70529730888029,1760693.5
Gaming Laptop,Mi,Camera,103.74,61977.0,4.3,2031,-59642.62579525738,Budget,32.752135977403,210695.94
Noise Cancelling Earbuds,Sony,Camera,436.61,37963.0,3.6,2048,-8594.94514555324,Budget,27.450385733660042,894177.28
Gaming Laptop,OnePlus,Monitor,482.77,65741.0,3.5,4307,-13517.457588499701,Budget,29.288801633966976,2079290.39
Laptop with SSD Storage,LG,Laptop,931.77,51802.0,2.3,2220,-5459.526492589373,Midrange,17.72313949495718,2068529.4
High Resolution Monitor,JBL,Smartwatch,227.37,11152.0,4.3,534,-4804.780753837357,Budget,27.013747011652825,121415.58
Smart Fitness Watch,Boat,Tablet,114.89,51608.0,1.2,1023,-44819.48820611019,Budget,8.317766166719343,117532.47
Android Tablet,OnePlus,Smartphone,29.14,27573.0,4.5,4978,-94522.51201098147,Budget,38.308429559889824,145058.92
High Resolution Monitor,OnePlus,Camera,463.54,71823.0,3.1,2252,-15394.455710402557,Budget,23.93205561533996,1043892.0800000001
4K Action Camera,Samsung,Monitor,637.58,42404.0,2.6,1372,-6550.773236299758,Midrange,18.784358854996725,874759.76
Noise Cancelling Earbuds,HP,Speaker,890.99,56024.0,3.0,4920,-6187.837124995792,Midrange,25.503801122597935,4383670.8
4K Action Camera,JBL,Tablet,994.97,40423.0,3.7,4069,-3962.735559866126,Midrange,30.752173630215573,4048532.93
High Resolution Monitor,Boat,Monitor,568.5,440.0,1.1,668,22.60334212840809,Midrange,7.1563624661410525,379758.0
Gaming Laptop,LG,Tablet,14.55,69409.0,4.5,2740,-476937.8006872852,Budget,35.62235143336254,39867.0
Android Tablet,LG,Camera,27.72,48543.0,2.8,2132,-175019.0476190476,Budget,21.46279721171978,59099.04
Android Tablet,Apple,Smartwatch,684.78,77410.0,2.4,3868,-11204.36052454803,Midrange,19.825803251281233,2648729.04
Wireless Bluetooth Headphones,OnePlus,Speaker,421.51,10405.0,1.6,378,-2368.506085264881,Budget,9.500057928131882,159330.78
Android Tablet,Mi,Laptop,66.91,1236.2,2.8,3740,-1747.556419070393,Budget,23.035903056174806,250243.4
Smart Fitness Watch,Samsung,Smartphone,905.71,26757.0,3.0,867,-2854.2568813417097,Midrange,20.29857514398105,785250.5700000001
Android Tablet,JBL,Laptop,737.05,61837.0,2.6,342,-8289.79716437148,Midrange,15.178099162631444,252071.09999999998
High Resolution Monitor,LG,Laptop,675.95,20630.0,3.7,3502,-2952.0008876396178,Midrange,30.1970875858307,2367176.9000000004
Wireless Bluetooth Headphones,Boat,Monitor,328.08,60462.0,2.7,2987,-18329.041697147037,Budget,21.60637077488231,979974.96
High Resolution Monitor,Apple,Tablet,490.34,68733.0,4.8,4494,-13917.41648651956,Budget,40.371460545147464,2203587.96
High Resolution Monitor,Boat,Smartphone,500.24,1535.1,3.4,3899,-206.8727011034703,Midrange,28.113688229200307,1950435.76
Smartphone with AMOLED Display,Samsung,Smartphone,92.86,27214.0,4.2,2662,-29206.482877449922,Budget,33.12627606041851,247193.32
Wireless Bluetooth Headphones,Mi,Camera,920.12,37189.0,1.4,491,-3941.7554232056686,Midrange,8.677870203089231,451778.92
High Resolution Monitor,Apple,Camera,863.58,72993.0,2.6,3200,-8352.372681164454,Midrange,20.985168203921642,2763456.0
Smartphone with AMOLED Display,Apple,Smartphone,76.8,31464.0,2.3,4325,-40868.75,Budget,19.25651679497991,332160.0
Smartphone with AMOLED Display,HP,Speaker,413.27,19541.0,3.3,1002,-4628.385801050161,Budget,22.805477600274386,414096.54
Wireless Bluetooth Headphones,JBL,Headphones,454.67,71566.0,4.4,3182,-15640.207183231794,Budget,35.48854948004121,1446759.94
4K Action Camera,Apple,Camera,473.14,53746.0,1.3,651,-11259.428498964367,Budget,8.424057930504649,308014.14
Gaming Laptop,HP,Headphones,94.36,33633.0,1.3,4933,-35543.28105129292,Budget,11.055076886216094,465477.88
Smart Fitness Watch,HP,Monitor,119.1,12756.0,4.4,372,-10610.327455919396,Budget,26.054945046432792,44305.2
Gaming Laptop,Samsung,Speaker,470.1,26461.0,1.9,1800,-5528.802382471815,Budget,14.242584955834316,846180.0
Android Tablet,Sony,Smartphone,165.67,7770.0,3.7,1202,-4590.04647793807,Budget,26.24252274910631,199135.34
Smart Fitness Watch,Boat,Speaker,985.04,34504.0,3.2,740,-3402.801916673435,Midrange,21.145602000947477,728929.6
Android Tablet,Mi,Camera,416.46,77954.0,4.3,3990,-18618.244249147578,Budget,35.65472755170955,1661675.4
High Resolution Monitor,Dell,Laptop,234.86,72336.0,1.5,2489,-30699.62530869454,Budget,11.73005698418813,584566.54
Noise Cancelling Earbuds,Boat,Monitor,84.59,29586.0,1.5,4347,-34875.7654569098,Budget,12.56620687236165,367712.73000000004
Wireless Bluetooth Headphones,Apple,Smartphone,132.49,24087.0,3.2,1476,-18080.24001811457,Budget,23.352858504100418,195555.24000000002
Smart Fitness Watch,Mi,Smartwatch,587.88,36937.0,4.8,3394,-6183.084983329932,Midrange,39.02428339196542,1995264.72
Smart Fitness Watch,LG,Monitor,563.5,54930.0,2.7,1762,-9648.003549245786,Midrange,20.18188489247425,992887.0
High Resolution Monitor,Sony,Tablet,936.76,1146.0,2.3,2640,-22.336564328109656,Midrange,18.121499698283404,2473046.4
4K Action Camera,LG,Headphones,815.13,15843.0,3.4,2011,-1843.6163556733284,Midrange,25.86340740614674,1639226.43
Smartphone with AMOLED Display,LG,Speaker,607.78,46044.0,4.7,1588,-7475.7675474678335,Midrange,34.64304278272257,965154.64
High Resolution Monitor,JBL,Smartphone,86.47,4789.0,4.3,3519,-5438.336995489765,Budget,35.11472995494621,304287.93
Portable Bluetooth Speaker,Boat,Monitor,525.12,44572.0,5.0,3149,-8387.964655697744,Midrange,40.27578865909839,1653602.8800000001
Smartphone with AMOLED Display,Dell,Speaker,264.06,26263.0,1.1,736,-9845.845641142163,Budget,7.262846681408271,194348.16
Wireless Bluetooth Headphones,Samsung,Smartphone,567.58,34031.0,1.5,4078,-5895.806758518622,Midrange,12.470410708976337,2314591.24
Smartphone with AMOLED Display,Dell,Camera,47.44,20400.0,3.4,2982,-42901.686340640816,Budget,27.202328267350143,141466.08
4K Action Camera,LG,Monitor,809.55,33185.0,4.3,4764,-3999.19090852943,Midrange,36.416927109179696,3856696.1999999997
Smartphone with AMOLED Display,Apple,Camera,199.46,57317.0,2.1,3625,-28636.087436077407,Budget,17.211359321761073,723042.5
Wireless Bluetooth Headphones,Sony,Monitor,543.16,74040.0,2.0,3080,-13531.342514176302,Midrange,16.066018997193336,1672932.7999999998
4K Action Camera,OnePlus,Camera,628.47,16461.0,4.1,3506,-2519.218101102678,Midrange,33.46631662557473,2203415.8200000003
Gaming Laptop,Dell,Tablet,412.13,34470.0,1.2,1448,-8263.865770509306,Budget,8.734354730784819,596764.24
Smart Fitness Watch,LG,Speaker,501.43,34400.0,2.5,2920,-6760.379315158646,Midrange,19.94920325596935,1464175.6
Smart Fitness Watch,Sony,Smartwatch,925.81,16873.0,3.0,585,-1722.5121785247513,Midrange,19.11995936873104,541598.85
Android Tablet,Mi,Monitor,18.22,11407.0,3.2,2535,-62507.02524698134,Budget,25.082698609782774,46187.7
Gaming Laptop,Boat,Tablet,988.68,12580.0,3.9,1642,-1172.403608852207,Midrange,28.876688560345343,1623412.5599999998
Gaming Laptop,HP,Monitor,865.65,872.2,2.4,3986,-0.7566568474556771,Midrange,19.897906433715253,3450480.9
Smartphone with AMOLED Display,JBL,Camera,939.36,13382.0,3.5,4532,-1324.5869528189405,Midrange,29.466987378292973,4257179.5200000005
Smart Fitness Watch,Sony,Smartphone,965.58,23485.0,3.3,4942,-2332.216905901116,Midrange,28.06890145391296,4771896.36
Wireless Bluetooth Headphones,Apple,Monitor,32.68,14115.0,3.2,3635,-43091.55446756426,Budget,26.235646256951583,118791.8
Laptop with SSD Storage,Apple,Tablet,185.23,71383.0,3.6,2783,-38437.493926469804,Budget,28.55391847723552,515495.08999999997
Laptop with SSD Storage,Sony,Camera,175.78,61026.0,2.0,1118,-34617.26021162817,Budget,14.04038141662385,196522.04
4K Action Camera,Apple,Laptop,935.5,40152.0,1.3,4411,-4192.036344200962,Midrange,10.909708394485412,4126490.5
Smart Fitness Watch,Boat,Camera,311.34,24388.0,1.5,2606,-7733.236975653626,Budget,11.798933120900253,811352.0399999999
Smart Fitness Watch,Apple,Speaker,530.21,57561.0,1.9,540,-10756.264498972105,Midrange,11.957496629808313,286313.4
Laptop with SSD Storage,Dell,Smartwatch,346.03,10655.0,3.0,869,-2979.21278501864,Budget,20.30547963494589,300700.06999999995
Smart Fitness Watch,HP,Laptop,50.1,55162.0,4.4,1036,-110003.79241516966,Budget,30.553983716209924,51903.6
Smartphone with AMOLED Display,Apple,Speaker,905.79,54359.0,3.8,2839,-5901.280650040297,Midrange,30.215925458389957,2571537.81
Portable Bluetooth Speaker,HP,Speaker,567.01,38262.0,4.2,1650,-6648.029135288618,Midrange,31.118373064464542,935566.5
Noise Cancelling Earbuds,LG,Speaker,968.52,27202.0,2.4,2571,-2708.6152067071407,Midrange,18.845853804858024,2490064.92
Gaming Laptop,Samsung,Smartphone,327.07,30454.0,2.6,4293,-9211.156633136638,Budget,21.74893234394069,1404111.51
Android Tablet,Boat,Speaker,674.11,14060.0,2.6,3470,-1985.7130141964958,Midrange,21.195714841240648,2339161.7
4K Action Camera,Samsung,Smartphone,893.56,29001.0,1.8,3634,-3145.557097452885,Midrange,14.757055901941717,3247197.0399999996
Portable Bluetooth Speaker,LG,Speaker,971.27,483.0,1.2,2472,50.27129428480237,Midrange,9.3758247210257,2400979.44
Laptop with SSD Storage,Boat,Headphones,581.67,45608.0,3.4,4837,-7740.87197208039,Midrange,28.846472749977906,2813537.7899999996
Gaming Laptop,Sony,Tablet,318.99,8696.0,5.0,902,-2626.104266591429,Budget,34.02861276708493,287728.98
Smart Fitness Watch,Sony,Laptop,29.71,12382.0,1.7,1851,-41576.20329855268,Budget,12.790836405850412,54993.21
Android Tablet,HP,Headphones,374.26,17864.0,1.2,4952,-4673.152353978518,Budget,10.209298479105886,1853335.52
Smart Fitness Watch,LG,Speaker,403.13,45900.0,4.1,3409,-11285.905291097166,Budget,33.351317038138006,1374270.17
Wireless Bluetooth Headphones,HP,Laptop,480.81,4908.0,2.0,4484,-920.7774380732512,Budget,16.816987548985793,2155952.04
Wireless Bluetooth Headphones,JBL,Laptop,184.77,4473.0,4.3,230,-2320.8475401850947,Budget,23.40239615524371,42497.100000000006
Android Tablet,Apple,Monitor,682.98,1287.3,3.8,4388,-88.48282526574715,Midrange,31.870055420815287,2996916.24
Android Tablet,OnePlus,Smartwatch,99.57,15099.0,4.8,671,-15064.206086170534,Budget,31.249240034511118,66811.47
Laptop with SSD Storage,JBL,Headphones,536.51,71800.0,2.6,1628,-13282.788764421915,Midrange,19.22887618236532,873438.28
Android Tablet,Apple,Smartwatch,732.97,6286.0,3.6,128,-757.6067233311048,Midrange,17.49532465570202,93820.16
Smartphone with AMOLED Display,Boat,Laptop,73.9,47879.0,2.9,855,-64688.903924221915,Budget,19.581584090811052,63184.50000000001
Smart Fitness Watch,HP,Smartphone,758.8,9857.0,3.5,814,-1199.0247759620456,Midrange,23.46115839634302,617663.2
Portable Bluetooth Speaker,Boat,Laptop,782.76,61671.0,2.8,3268,-7778.66012570903,Midrange,22.65827033882779,2558059.68
High Resolution Monitor,Boat,Smartwatch,473.34,67802.0,1.8,4516,-14224.164448388052,Budget,15.148086004178287,2137603.44
Android Tablet,Apple,Headphones,686.56,9211.0,3.0,345,-1241.6161733861572,Midrange,17.539316325173175,236863.19999999998
4K Action Camera,LG,Speaker,116.1,4487.0,3.1,1994,-3764.771748492679,Budget,23.55503792090429,231503.4
Wireless Bluetooth Headphones,Apple,Monitor,669.15,71388.0,4.2,286,-10568.459986550102,Midrange,23.769825306190413,191376.9
Smartphone with AMOLED Display,Mi,Monitor,873.87,57838.0,3.9,1308,-6518.604597937908,Midrange,27.99037318704861,1143021.96
Gaming Laptop,Sony,Monitor,455.21,44105.0,3.7,1214,-9588.934777355507,Budget,26.279247616366202,552624.94
High Resolution Monitor,Sony,Speaker,235.57,637.0,1.5,3629,-170.40794668251476,Budget,12.295481890888347,854883.53
Portable Bluetooth Speaker,JBL,Monitor,610.17,66258.0,3.9,3818,-10758.940950882543,Midrange,32.16620116017951,2329629.06
High Resolution Monitor,Sony,Headphones,452.31,23177.0,3.0,2677,-5024.140523092568,Budget,23.678476578753354,1210833.87
Android Tablet,Apple,Speaker,374.34,8193.0,4.6,1573,-2088.6520275685207,Budget,33.8623269732958,588836.82
Laptop with SSD Storage,Dell,Monitor,916.04,72460.0,4.7,721,-7810.134928605738,Midrange,30.935518152796284,660464.84
Wireless Bluetooth Headphones,HP,Speaker,365.89,16040.0,1.2,1335,-4283.831206100194,Budget,8.636922424915909,488463.14999999997
Wireless Bluetooth Headphones,Apple,Smartwatch,915.88,4236.0,4.3,2126,-362.50600515351357,Midrange,32.94861160536102,1947160.88
Gaming Laptop,Apple,Tablet,448.07,29913.0,1.2,3036,-6575.965808913786,Budget,9.6223505580549,1360340.52
Laptop with SSD Storage,OnePlus,Tablet,293.41,78430.0,2.5,1118,-26630.513615759515,Budget,17.550476770779813,328032.38
Smart Fitness Watch,HP,Headphones,384.01,49854.0,3.2,2462,-12882.474414728782,Budget,24.98923327398572,945432.62
Noise Cancelling Earbuds,Mi,Camera,363.56,3858.0,1.6,1094,-961.1728462977226,Budget,11.197615427600963,397734.64
Smartphone with AMOLED Display,Sony,Smartphone,980.2,28528.0,4.0,2435,-2810.4264435829423,Midrange,31.192450515319152,2386787.0
Wireless Bluetooth Headphones,HP,Monitor,982.31,20511.0,1.0,2216,-1988.0373812747503,Midrange,7.7039102096163115,2176798.96
4K Action Camera,Sony,Smartphone,301.22,63274.0,1.7,581,-20905.909302171167,Budget,10.822999761143445,175008.82
Wireless Bluetooth Headphones,JBL,Speaker,490.72,32836.0,3.3,3723,-6591.392239973915,Budget,27.13442700670996,1826950.56
High Resolution Monitor,HP,Smartphone,996.73,73595.0,3.9,2586,-7283.644517572462,Midrange,30.647191310525514,2577543.7800000003
Wireless Bluetooth Headphones,Sony,Headphones,207.85,33306.0,4.7,2546,-15924.055809477992,Budget,36.86055593240345,529186.1
Wireless Bluetooth Headphones,Mi,Headphones,851.85,4918.0,3.8,3922,-477.3316898514997,Midrange,31.443525395596296,3340955.7
Noise Cancelling Earbuds,Samsung,Laptop,659.63,71370.0,3.7,2818,-10719.701954125798,Midrange,29.393308717122217,1858837.34
Noise Cancelling Earbuds,Boat,Tablet,184.57,34937.0,2.6,1735,-18828.861678495967,Budget,19.39428112757277,320228.95
Portable Bluetooth Speaker,Boat,Monitor,919.23,694.4,1.0,145,24.45851419122527,Midrange,4.983606621708336,133288.35
Smart Fitness Watch,Mi,Laptop,133.57,28878.0,1.5,2333,-21520.12427940406,Budget,11.633008219269751,311618.81
4K Action Camera,OnePlus,Smartphone,829.64,72369.0,3.1,4104,-8622.940070391978,Midrange,25.79187916784824,3404842.56
Wireless Bluetooth Headphones,Samsung,Camera,27.74,39624.0,3.7,537,-142740.66330209086,Budget,23.265076672598603,14896.38
Wireless Bluetooth Headphones,JBL,Laptop,845.34,47732.0,2.7,4136,-5546.485437812005,Midrange,22.484860649445814,3496326.24
Smartphone with AMOLED Display,Mi,Laptop,168.06,75105.0,3.9,2021,-44589.39664405569,Budget,29.686185358363627,339649.26
Noise Cancelling Earbuds,Boat,Headphones,875.38,4690.0,3.1,4894,-435.7673239050469,Midrange,26.337505620390292,4284109.72
4K Action Camera,Boat,Camera,897.41,3048.0,1.3,4420,-239.6440868722212,Midrange,10.912357551974116,3966552.1999999997
Gaming Laptop,Boat,Speaker,396.84,6223.0,1.8,4644,-1468.1382925108358,Budget,15.19838397224629,1842924.96
Portable Bluetooth Speaker,LG,Smartphone,624.68,5248.0,4.4,1576,-740.1101363898316,Midrange,32.39843018263737,984495.6799999999
Smart Fitness Watch,Mi,Laptop,46.73,75500.0,3.9,1252,-161466.44553819817,Budget,27.819854224094666,58505.96
Laptop with SSD Storage,Apple,Camera,721.84,22938.0,4.6,2653,-3077.712512468137,Midrange,36.265586788503896,1915041.52
Smart Fitness Watch,JBL,Tablet,234.32,73538.0,1.5,4440,-31283.57801297371,Budget,12.597952282938152,1040380.7999999999
High Resolution Monitor,Boat,Monitor,640.26,76745.0,5.0,928,-11886.536719457721,Midrange,34.17054369406919,594161.28
Wireless Bluetooth Headphones,Sony,Camera,667.73,72031.0,1.8,4445,-10687.444026777292,Midrange,15.119568170143456,2968059.85
Portable Bluetooth Speaker,Mi,Tablet,679.04,6826.0,1.0,4489,-905.2426955702168,Midrange,8.4096079807363,3048210.56
High Resolution Monitor,LG,Smartphone,245.17,37107.0,5.0,4084,-15035.212301668233,Budget,41.57538503647052,1001274.2799999999
4K Action Camera,Mi,Camera,654.15,64239.0,2.1,4726,-9720.224719101125,Midrange,17.768196664665798,3091512.9
Laptop with SSD Storage,JBL,Tablet,749.27,63881.0,3.7,2337,-8425.765078009263,Midrange,28.70108922551845,1751043.99
Noise Cancelling Earbuds,LG,Camera,603.16,4923.0,1.7,1092,-716.2013396113801,Midrange,11.894358529900115,658650.72
Portable Bluetooth Speaker,JBL,Camera,784.23,53945.0,3.3,2269,-6778.721803552528,Midrange,25.500865864568976,1779417.87
Portable Bluetooth Speaker,Mi,Monitor,222.86,21517.0,4.6,851,-9554.94032127793,Budget,31.03889802341485,189653.86000000002
Wireless Bluetooth Headphones,Apple,Tablet,452.08,3119.0,2.3,747,-589.9221376747479,Budget,15.220026849341297,337703.76
Android Tablet,JBL,Tablet,492.42,48835.0,3.7,684,-9817.346980220136,Budget,24.158849701570237,336815.28
Portable Bluetooth Speaker,LG,Laptop,398.6,4218.0,1.8,753,-958.2037129954841,Budget,11.925706262414321,300145.8
Smartphone with AMOLED Display,LG,Smartphone,730.91,29448.0,3.5,2912,-3928.9502127484916,Midrange,27.91928564935802,2128409.92
Laptop with SSD Storage,JBL,Monitor,15.02,13610.0,2.3,137,-90512.51664447403,Budget,11.33268347586157,2057.74
Laptop with SSD Storage,Dell,Camera,624.62,46744.0,1.8,589,-7383.590022733822,Midrange,11.484220566419577,367901.18
Smartphone with AMOLED Display,Mi,Camera,198.01,23319.0,2.3,2957,-11676.677945558306,Budget,18.382217879522713,585515.57
Gaming Laptop,Dell,Laptop,113.55,879.0,1.7,3921,-674.108322324967,Budget,14.066406911485695,445229.55
Smartphone with AMOLED Display,OnePlus,Smartphone,688.21,34388.0,4.6,3348,-4896.730649075137,Midrange,37.335518534853335,2304127.08
Smartphone with AMOLED Display,Mi,Headphones,979.82,42835.0,2.6,3724,-4271.721336572024,Midrange,21.379337540115515,3648849.68
Laptop with SSD Storage,JBL,Monitor,94.32,21596.0,2.0,1205,-22796.52247667515,Budget,14.190128754574262,113655.59999999999
Smart Fitness Watch,Samsung,Laptop,378.43,21405.0,2.8,542,-5556.264038263351,Budget,17.63190609581502,205109.06
Laptop with SSD Storage,JBL,Smartphone,971.98,3170.0,2.3,559,-226.138397909422,Midrange,14.554254602577146,543336.8200000001
Android Tablet,Dell,Monitor,13.85,2979.2,4.0,163,-21410.469314079422,Budget,20.399465711296795,2257.5499999999997
Wireless Bluetooth Headphones,Apple,Camera,680.93,12030.0,4.9,1779,-1666.701423053765,Midrange,36.67340635210204,1211374.47
High Resolution Monitor,JBL,Smartphone,737.62,16387.0,2.8,1541,-2121.6046202651773,Midrange,20.55433955154517,1136672.42
